Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-84.827904	-84.827904
1	0.950747	7500	-83.686268	-168.514172
2	0.926679	7500	-82.393879	-250.908051
3	0.902980	7500	-81.180974	-332.089026
4	0.879648	7500	-79.886571	-411.975597
5	0.856682	7500	-78.705445	-490.681042
6	0.834079	7500	-77.414274	-568.095315
7	0.811838	7500	-76.162539	-644.257855
8	0.789957	7500	-75.001607	-719.259462
9	0.768433	7500	-73.777913	-793.037375
10	0.747266	7500	-72.529222	-865.566598
11	0.726452	7500	-71.334061	-936.900659
12	0.705989	7500	-70.129608	-1007.030267
13	0.685877	7500	-68.946875	-1075.977141
14	0.666112	7500	-67.724664	-1143.701806
15	0.646693	7500	-66.569224	-1210.271030
16	0.627618	7500	-65.384818	-1275.655847
17	0.608884	7500	-64.208543	-1339.864390
18	0.590490	7500	-63.059752	-1402.924142
19	0.572433	7500	-61.908021	-1464.832163
20	0.554712	7500	-60.751066	-1525.583228
21	0.537324	7500	-59.614757	-1585.197985
22	0.520268	7500	-58.478001	-1643.675986
23	0.503540	7500	-57.352291	-1701.028278
24	0.487139	7500	-56.229160	-1757.257438
25	0.471063	7500	-55.118194	-1812.375632
26	0.455310	7500	-54.014852	-1866.390484
27	0.439877	7500	-52.917904	-1919.308388
28	0.424762	7500	-51.828059	-1971.136446
29	0.409963	7500	-50.746450	-2021.882897
30	0.395478	7500	-49.671501	-2071.554398
31	0.381305	7500	-48.606062	-2120.160459
32	0.367440	7500	-47.548449	-2167.708908
33	0.353883	7500	-46.494044	-2214.202953
34	0.340630	7500	-45.453902	-2259.656855
35	0.327680	7500	-44.416169	-2304.073023
36	0.315030	7500	-43.389734	-2347.462758
37	0.302677	7500	-42.366018	-2389.828776
38	0.290619	7500	-41.357534	-2431.186310
39	0.278855	7500	-40.355256	-2471.541567
40	0.267381	7500	-39.362677	-2510.904244
41	0.256195	7500	-38.374149	-2549.278393
42	0.245294	7500	-37.395887	-2586.674280
43	0.234677	7500	-36.425862	-2623.100142
44	0.224340	7500	-35.467004	-2658.567147
45	0.214281	7500	-34.511142	-2693.078289
46	0.204498	7500	-33.572853	-2726.651141
47	0.194988	7500	-32.634583	-2759.285724
48	0.185749	7500	-31.706215	-2790.991938
49	0.176777	7500	-30.792023	-2821.783961
50	0.168070	7500	-29.884534	-2851.668495
51	0.159626	7500	-28.988015	-2880.656510
52	0.151441	7500	-28.098914	-2908.755424
53	0.143514	7500	-27.221571	-2935.976995
54	0.135841	7500	-26.351244	-2962.328239
55	0.128420	7500	-25.510252	-2987.838491
56	0.121247	7500	-24.636268	-3012.474759
57	0.114320	7500	-23.792432	-3036.267190
58	0.107637	7500	-22.989755	-3059.256946
59	0.101193	7500	-22.141201	-3081.398146
60	0.094986	7500	-21.328519	-3102.726665
61	0.089014	7500	-20.530578	-3123.257243
62	0.083273	7500	-19.840079	-3143.097322
63	0.077760	7500	-19.096593	-3162.193915
64	0.072472	7500	-18.343999	-3180.537914
65	0.067406	7500	-17.612395	-3198.150309
66	0.062558	7500	-16.833042	-3214.983350
67	0.057926	7500	-16.219951	-3231.203302
68	0.053506	7500	-15.577361	-3246.780662
69	0.049295	7500	-14.815206	-3261.595868
70	0.045289	7500	-14.161096	-3275.756965
71	0.041485	7500	-13.484299	-3289.241264
72	0.037880	7500	-12.792778	-3302.034042
73	0.034469	7500	-12.115151	-3314.149193
74	0.031250	7500	-11.442822	-3325.592014
75	0.028218	7500	-10.772718	-3336.364733
76	0.025370	7500	-10.132932	-3346.497665
77	0.022702	7500	-9.497516	-3355.995182
78	0.020209	7500	-8.884204	-3364.879386
79	0.017889	7500	-8.271684	-3373.151070
80	0.015736	7500	-7.688100	-3380.839170
81	0.013746	7500	-7.111815	-3387.950986
82	0.011916	7500	-6.552634	-3394.503619
83	0.010240	7500	-6.009019	-3400.512638
84	0.008714	7500	-5.484285	-3405.996923
85	0.007334	7500	-4.979064	-3410.975986
86	0.006093	7500	-4.485299	-3415.461286
87	0.004988	7500	-4.028569	-3419.489854
88	0.004013	7500	-3.572020	-3423.061874
89	0.003162	7500	-3.141498	-3426.203372
90	0.002430	7500	-2.757032	-3428.960405
91	0.001810	7500	-2.364111	-3431.324515
92	0.001296	7500	-2.085111	-3433.409626
93	0.000882	7500	-1.863885	-3435.273511
94	0.000559	7500	-1.576706	-3436.850217
95	0.000320	7500	-1.317547	-3438.167764
96	0.000156	7500	-0.974166	-3439.141929
97	0.000057	7500	-0.612944	-3439.754873
98	0.000010	7500	-0.293121	-3440.047994
99	0.000000	7500	-0.063978	-3440.111972
Log marginal likelihood:	-3440.111972
0	0.975187	7500	-83.973743	-83.973743
1	0.950747	7500	-82.714177	-166.687921
2	0.926679	7500	-81.476660	-248.164581
3	0.902980	7500	-80.217906	-328.382487
4	0.879648	7500	-78.973133	-407.355619
5	0.856682	7500	-77.774252	-485.129871
